Words,Rank,Frequency
film,1,2642
movie,2,1713
comedy,3,1287
documentary,4,1286
new,5,1190
one,6,1134
drama,7,1097
young,8,1068
story,9,1022
man,10,980
two,11,966
mr,12,959
life,13,913
old,14,868
like,15,842
good,16,810
love,17,746
directed,18,733
woman,19,715
director,20,695
family,21,690
world,22,680
american,23,658
time,24,596
war,25,589
stephen,26,533
via,27,531
first,28,520
scott,29,516
plays,30,514
well,31,513
holden,32,475
best,33,463
girl,34,453
much,35,450
high,36,445
star,37,441
set,38,438
year,39,437
whose,40,437
little,41,423
three,42,420
school,43,410
boy,44,409
british,45,405
tale,46,404
funny,47,397
stars,48,396
york,49,392
follows,50,391
way,51,391
romantic,52,372
mitchell,53,362
wife,54,361
elvis,55,359
thriller,56,359
even,57,355
father,58,354
novel,59,351
takes,60,351
work,61,348
son,62,344
french,63,342
small,64,340
also,65,336
back,66,335
town,67,333
music,68,328
cast,69,328
john,70,320
feature,71,315
character,72,314
action,73,310
characters,74,307
murder,75,307
women,76,307
often,77,305
home,78,305
make,79,305
long,80,303
real,81,302
may,82,301
made,83,299
mother,84,299
people,85,297
big,86,293
couple,87,291
played,88,290
melodrama,89,289
picture,90,286
bad,91,283
around,92,281
based,93,280
horror,94,277
title,95,276
black,96,276
daughter,97,275
self,98,275
years,99,273
children,100,273
though,101,272
turns,102,271
movies,103,266
makes,104,265
death,105,264
hollywood,106,263
dave,107,262
play,108,262
version,109,260
men,110,258
another,111,258
lives,112,251
early,113,249
series,114,248
plot,115,247
fine,116,247
kehr,117,245
city,118,245
ms,119,244
last,120,242
finds,121,235
comes,122,234
great,123,233
would,124,229
writer,125,228
comic,126,228
looks,127,228
show,128,226
adventure,129,226
style,130,225
seems,131,224
age,132,224
musical,133,223
better,134,220
goes,135,220
sex,136,218
still,137,218
look,138,217
rich,139,215
tries,140,213
take,141,213
house,142,211
white,143,207
films,144,207
human,145,206
find,146,206
western,147,206
day,148,205
might,149,205
many,150,204
michael,151,204
portrait,152,203
hard,153,203
crime,154,202
kind,155,201
fun,156,201
less,157,201
screen,158,201
middle,159,200
friends,160,199
suspense,161,199
romance,162,197
adaptation,163,197
james,164,196
art,165,196
filmmaker,166,196
enough,167,195
never,168,195
almost,169,194
part,170,193
written,171,191
original,172,190
end,173,189
debut,174,189
rock,175,188
entertaining,176,187
half,177,186
nice,178,186
london,179,186
group,180,185
country,181,185
place,182,185
